epochs,octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
31 ,0,0,0,0,0,0,0,0,0,0,0,0,204800,204800,409600,32000,256000,288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,204800,0,0,0,0,0,256000,0.00278584,0,0.00184762,0,0.000548947
32 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,204800,102400,307200,128000,32000,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,102400,204800,0,2560000,0.00058263,102400,0.00263058,128000,0.00139292,36.3672,0.00224074,20.0505,0.000632639
33 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
34 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
35 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,256,102656,16000,40,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,256,0,0,102400,0.00263058,102400,0.00111434,10.7653,0.000663294,4.76137,0.000150232
36 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,32,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
37 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,256,512,0,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
38 ,0,0,0,0,0,0,0,0,0,0,0,0,307200,102400,409600,48000,16000,64000,102400,0,102400,32000,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,204800,102400,204800,0,204800,4.66104e-05,102400,0.00263058,102400,0.00111434,18.1542,0.00111855,22.533,0.000710968
39 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
40 ,68608,0,68608,149502,0,149502,0,0,0,0,0,0,1740800,204800,1945600,95552,48000,143552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,204800,990208,0,55091200,0.0125382,273067,0.0070149,411648,0.00447963,53.5768,0.00880292,88.5263,0.00744857
41 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1740800,204800,1945600,185152,32000,217152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921600,102400,884736,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,49.8158,0.00818496,86.0513,0.00724032
42 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
43 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
44 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
45 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105472,0,0,102400,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
46 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
47 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
48 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
49 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
50 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105472,0,0,102400,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
51 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
52 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
53 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
54 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
55 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,102400,102400,0,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
56 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
