epochs,octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
97 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1740800,204800,1945600,185152,32000,217152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,102400,921600,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,49.8158,0.00818496,86.0513,0.00724032
98 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
99 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
100 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
101 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107520,0,0,102400,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
102 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
103 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
104 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
105 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
106 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,102400,102400,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
107 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
108 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
109 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
110 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
111 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,102400,102400,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
112 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
113 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
114 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
115 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
116 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,102400,102400,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
117 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
118 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
119 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,256,102656,16000,40,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,102400,0,0,0,102400,0.00263058,102400,0.00111434,10.7653,0.000663294,4.76137,0.000150232
120 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,32,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
121 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,256,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
122 ,0,0,0,0,0,0,0,0,0,0,0,0,409600,102400,512000,64000,16000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,307200,0,204800,4.66104e-05,102400,0.00263058,102400,0.00111434,16.4882,0.00101591,22.9535,0.000724236
123 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
124 ,70656,0,70656,161790,0,161790,0,0,0,0,0,0,1740800,204800,1945600,95552,48000,143552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,204800,992256,0,56729600,0.0129111,273067,0.0070149,423936,0.00461335,55.2088,0.00907107,90.1763,0.0075874
125 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1740800,204800,1945600,185152,32000,217152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921600,102400,884736,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,49.8158,0.00818496,86.0513,0.00724032
126 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
127 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
128 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
129 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,107520,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
130 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
131 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
132 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
133 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
134 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,5120,102400,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
135 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
136 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
137 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
138 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
139 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,5120,102400,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
140 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
141 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
142 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
143 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
144 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107520,0,0,102400,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
145 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
146 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
147 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,256,102656,16000,40,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,102400,0,0,0,102400,0.00263058,102400,0.00111434,10.7653,0.000663294,4.76137,0.000150232
148 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,32,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
149 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,256,512,0,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
150 ,0,0,0,0,0,0,0,0,0,0,0,0,409600,102400,512000,64000,16000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,102400,204800,0,204800,4.66104e-05,102400,0.00263058,102400,0.00111434,16.4882,0.00101591,22.9535,0.000724236
151 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
152 ,70656,0,70656,161790,0,161790,0,0,0,0,0,0,1740800,204800,1945600,95552,48000,143552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992256,0,819200,204800,56729600,0.0129111,273067,0.0070149,423936,0.00461335,55.2088,0.00907107,90.1763,0.0075874
153 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1740800,204800,1945600,185152,32000,217152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921600,102400,884736,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,49.8158,0.00818496,86.0513,0.00724032
154 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
155 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
156 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
157 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,5120,102400,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
158 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
159 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
160 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
161 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
162 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,102400,102400,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
163 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
164 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
165 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
166 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
167 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,102400,102400,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
168 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
169 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
170 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
171 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
172 ,5120,0,5120,30720,0,30720,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,107520,0,4198400,0.000955514,102400,0.00263058,102400,0.00111434,28.7938,0.00177411,19.699,0.000621549
173 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
174 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
175 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,256,102656,16000,40,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,102400,0,0,0,102400,0.00263058,102400,0.00111434,10.7653,0.000663294,4.76137,0.000150232
176 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,32,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
177 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,256,512,0,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
178 ,0,0,0,0,0,0,0,0,0,0,0,0,409600,102400,512000,64000,16000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,307200,0,204800,4.66104e-05,102400,0.00263058,102400,0.00111434,16.4882,0.00101591,22.9535,0.000724236
179 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
180 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,8000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105472,0,0,102400,2457600,0.000559325,102400,0.00263058,102400,0.00111434,16.0658,0.000989882,15.299,0.000482719
181 ,65536,0,65536,393216,0,393216,0,0,0,0,0,0,2252800,563200,2816000,201600,68000,269600,0,51200,51200,0,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,1294336,51200,1024000,153600,26368000,0.00600109,409600,0.0105223,440000,0.00478817,65.1516,0.0160571,67.2398,0.00848629
182 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,153600,1792000,57152,24000,81152,51200,0,51200,128000,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,935936,51200,52531200,0.0119556,273067,0.0070149,393216,0.00427905,49.5034,0.00813364,84.3414,0.00709645
183 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
184 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
185 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
186 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,102400,102400,0,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
187 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
188 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
189 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
190 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
191 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,3072,102400,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
192 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,102400,884736,0,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
193 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
194 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
